iter	Passed	Remaining
632	8912	5167
633	8926	5153
634	8940	5139
635	8953	5124
636	8968	5110
637	8982	5096
638	8995	5081
639	9008	5067
640	9021	5052
641	9041	5041
642	9055	5027
643	9068	5013
644	9083	4999
645	9097	4985
646	9112	4971
647	9128	4958
648	9144	4945
649	9157	4931
650	9170	4916
651	9184	4902
652	9197	4887
653	9211	4873
654	9225	4859
655	9240	4845
656	9253	4831
657	9267	4816
658	9280	4802
659	9293	4787
660	9308	4773
661	9323	4760
662	9337	4746
663	9351	4731
664	9364	4717
665	9377	4702
666	9389	4687
667	9403	4673
668	9416	4658
669	9429	4644
670	9442	4629
671	9455	4615
672	9468	4600
673	9481	4586
674	9495	4571
675	9508	4557
676	9521	4542
677	9535	4528
678	9549	4514
679	9562	4499
680	9574	4485
681	9588	4471
682	9602	4456
683	9615	4442
684	9628	4427
685	9641	4413
686	9654	4398
687	9667	4384
688	9680	4369
689	9693	4355
690	9707	4340
691	9722	4327
692	9736	4313
693	9750	4299
694	9763	4284
695	9777	4270
696	9790	4255
697	9803	4241
698	9816	4227
699	9829	4212
700	9842	4198
701	9858	4184
702	9873	4171
703	9888	4157
704	9904	4144
705	9920	4131
706	9936	4117
707	9950	4103
708	9979	4096
709	10005	4086
710	10019	4072
711	10033	4058
712	10047	4044
713	10060	4029
714	10073	4015
715	10086	4000
716	10101	3986
717	10114	3972
718	10127	3958
719	10142	3944
720	10155	3929
721	10168	3915
722	10181	3900
723	10194	3886
724	10207	3871
725	10220	3857
726	10234	3843
727	10248	3829
728	10261	3814
729	10274	3800
730	10287	3785
731	10301	3771
732	10314	3757
733	10328	3743
734	10342	3729
735	10355	3714
736	10368	3700
737	10381	3685
738	10394	3671
739	10408	3656
740	10421	3642
741	10434	3628
742	10446	3613
743	10460	3599
744	10473	3585
745	10486	3570
746	10500	3556
747	10513	3542
748	10527	3527
749	10540	3513
750	10553	3498
751	10566	3484
752	10580	3470
753	10594	3456
754	10607	3442
755	10620	3427
756	10634	3413
757	10646	3399
758	10659	3384
759	10671	3370
760	10684	3355
761	10697	3341
762	10711	3327
763	10726	3313
764	10740	3299
765	10753	3284
766	10767	3270
767	10780	3256
768	10793	3242
769	10806	3227
770	10819	3213
771	10832	3199
772	10846	3185
773	10859	3170
774	10873	3156
775	10886	3142
776	10900	3128
777	10913	3114
778	10926	3099
779	10940	3085
780	10953	3071
781	10966	3057
782	10979	3042
783	10991	3028
784	11004	3014
785	11018	2999
786	11034	2986
787	11048	2972
788	11062	2958
789	11075	2944
790	11089	2929
791	11104	2916
792	11117	2902
793	11130	2887
794	11143	2873
795	11156	2859
796	11169	2845
797	11182	2830
798	11195	2816
799	11208	2802
800	11221	2787
801	11235	2773
802	11248	2759
803	11261	2745
804	11274	2731
805	11287	2716
806	11300	2702
807	11314	2688
808	11329	2674
809	11342	2660
810	11355	2646
811	11368	2632
812	11381	2617
813	11395	2603
814	11411	2590
815	11426	2576
816	11440	2562
817	11454	2548
818	11469	2534
819	11484	2521
820	11499	2507
821	11514	2493
822	11528	2479
823	11542	2465
824	11556	2451
825	11570	2437
826	11586	2423
827	11600	2409
828	11613	2395
829	11626	2381
830	11641	2367
831	11655	2353
832	11669	2339
833	11683	2325
834	11697	2311
835	11712	2297
836	11727	2283
837	11744	2270
838	11761	2256
839	11777	2243
840	11803	2231
841	11826	2219
842	11847	2206
843	11866	2193
844	11882	2179
845	11898	2165
846	11913	2151
847	11929	2138
848	11944	2124
849	11958	2110
850	11974	2096
851	11988	2082
852	12004	2068
853	12022	2055
854	12039	2041
855	12053	2027
856	12068	2013
857	12082	1999
858	12097	1985
859	12110	1971
860	12124	1957
861	12139	1943
862	12152	1929
863	12166	1915
864	12179	1900
865	12196	1887
866	12214	1873
867	12236	1860
868	12256	1847
869	12273	1833
870	12291	1820
871	12308	1806
872	12326	1793
873	12341	1779
874	12356	1765
875	12373	1751
876	12388	1737
877	12405	1723
878	12422	1710
879	12436	1695
880	12455	1682
881	12471	1668
882	12487	1654
883	12505	1641
884	12526	1627
885	12544	1614
886	12561	1600
887	12580	1586
888	12596	1572
889	12610	1558
890	12623	1544
891	12637	1530
892	12651	1515
893	12665	1501
894	12680	1487
895	12695	1473
896	12712	1459
897	12726	1445
898	12741	1431
899	12756	1417
900	12772	1403
901	12787	1389
902	12801	1375
903	12818	1361
904	12836	1347
905	12850	1333
906	12864	1319
907	12880	1305
908	12894	1290
909	12908	1276
910	12926	1262
911	12940	1248
912	12954	1234
913	12971	1220
914	12990	1206
915	13009	1192
916	13034	1179
917	13057	1166
918	13079	1152
919	13099	1139
920	13115	1125
921	13131	1110
922	13146	1096
923	13161	1082
924	13178	1068
925	13195	1054
926	13212	1040
927	13228	1026
928	13244	1012
929	13260	998
930	13278	984
931	13294	969
932	13315	956
933	13337	942
934	13356	928
935	13377	914
936	13396	900
937	13414	886
938	13431	872
939	13450	858
940	13468	844
941	13487	830
942	13508	816
943	13528	802
944	13549	788
945	13566	774
946	13585	760
947	13604	746
948	13625	732
949	13645	718
950	13664	704
951	13680	689
952	13697	675
953	13714	661
954	13728	646
955	13744	632
956	13762	618
957	13778	604
958	13801	590
959	13821	575
960	13843	561
961	13862	547
962	13884	533
963	13904	519
964	13924	505
965	13942	490
966	13963	476
967	13982	462
968	14003	447
969	14020	433
970	14039	419
971	14062	405
972	14085	390
973	14107	376
974	14126	362
975	14144	347
976	14165	333
977	14187	319
978	14208	304
979	14227	290
980	14250	275
981	14269	261
982	14289	247
983	14310	232
984	14330	218
985	14355	203
986	14377	189
987	14395	174
988	14413	160
989	14433	145
990	14453	131
991	14472	116
992	14491	102
993	14510	87
994	14532	73
995	14548	58
996	14570	43
997	14587	29
998	14610	14
999	14630	0
